# a, b, af, bf, as, bs, afs, bfs, alfa1, beta1, alfa2, beta2, vol, fibstretch 
1.18352988e+02,  6.11123889e+00,  1.13528680e+02,  1.16532735e+01,  4.06775477e+02,  3.77562784e+00,  4.11963461e+02,  1.42490911e+01,  1.09153469e+00,  4.29384288e+00,  1.00668953e-02,  4.05737384e+01,  1.10759268e+02,  1.14743937e+00
1.09510193e+02,  6.95399436e+00,  1.12103890e+02,  1.07530287e+01,  3.53120602e+02,  3.79082239e+00,  4.58065381e+02,  9.17750594e+00,  1.18353569e+00,  4.52303569e+00,  8.89890178e-03,  4.22201674e+01,  1.09080371e+02,  1.14469756e+00
1.37215497e+02,  7.49226040e+00,  8.54684605e+01,  8.89744443e+00,  3.77253709e+02,  4.48454343e+00,  4.10317645e+02,  9.35663753e+00,  1.52661272e+00,  4.50742281e+00,  9.16840233e-03,  4.40277681e+01,  1.05860980e+02,  1.13764626e+00
1.33505027e+02,  5.17294540e+00,  9.32453692e+01,  1.25156350e+01,  3.19198818e+02,  4.21132509e+00,  2.96086407e+02,  9.56446200e+00,  8.94655557e-01,  4.41800672e+00,  7.65336929e-03,  4.13337521e+01,  1.13192801e+02,  1.15206211e+00
1.82643837e+02,  6.46136980e+00,  1.34412421e+02,  1.12934017e+01,  2.63794794e+02,  4.26241650e+00,  4.28645135e+02,  1.05461758e+01,  1.45751644e+00,  4.19908112e+00,  1.22154055e-02,  4.13406452e+01,  1.06965399e+02,  1.13920884e+00
1.24208039e+02,  7.35770854e+00,  8.84772373e+01,  1.25099940e+01,  4.19938797e+02,  6.60579810e+00,  3.07436959e+02,  1.36688761e+01,  1.81311807e+00,  4.60885194e+00,  7.03935545e-03,  4.80848930e+01,  1.03660849e+02,  1.13148091e+00
1.14359474e+02,  5.48550958e+00,  1.42007634e+02,  1.20300912e+01,  3.54430723e+02,  6.01327706e+00,  3.23369204e+02,  8.06803154e+00,  1.21300271e+00,  4.57583270e+00,  6.09540258e-03,  4.64446935e+01,  1.08607627e+02,  1.13982853e+00
1.32978568e+02,  6.23218180e+00,  1.40176190e+02,  1.37527440e+01,  3.81797978e+02,  4.67904666e+00,  4.33609857e+02,  1.30117772e+01,  1.43812700e+00,  4.31451071e+00,  9.60793983e-03,  4.33727775e+01,  1.06917548e+02,  1.13847784e+00
1.36117218e+02,  4.93786192e+00,  1.35183172e+02,  1.20989626e+01,  2.74907158e+02,  6.06477860e+00,  3.08027732e+02,  1.24653042e+01,  1.07407787e+00,  4.63321217e+00,  5.75643245e-03,  4.61113691e+01,  1.10034740e+02,  1.14227272e+00
1.58991909e+02,  6.71112663e+00,  1.32670872e+02,  1.19899900e+01,  4.83014896e+02,  5.15488930e+00,  3.79851445e+02,  1.20820555e+01,  1.76752760e+00,  4.14004959e+00,  1.15425822e-02,  4.35106936e+01,  1.04454459e+02,  1.13327768e+00
1.67023820e+02,  6.35583055e+00,  1.44422582e+02,  1.19329338e+01,  4.70570305e+02,  3.87049147e+00,  5.04294175e+02,  9.41668874e+00,  1.54481321e+00,  3.98578937e+00,  1.44752802e-02,  4.02187342e+01,  1.06532210e+02,  1.13850254e+00
1.31142629e+02,  6.19571338e+00,  8.90214448e+01,  1.29538182e+01,  3.58356272e+02,  6.28182580e+00,  3.27706253e+02,  1.19468204e+01,  1.40404696e+00,  4.61321999e+00,  6.57129881e-03,  4.66427873e+01,  1.06710692e+02,  1.13740500e+00
1.51199905e+02,  7.55395825e+00,  1.04665934e+02,  1.44826448e+01,  3.45663666e+02,  5.18411596e+00,  4.20979193e+02,  9.29914667e+00,  2.00641268e+00,  4.48224136e+00,  9.24247519e-03,  4.61081416e+01,  1.02573664e+02,  1.13077461e+00
