# a, b, af, bf, alfa1, beta1, alfa2, beta2, vol, fibstretch 
  1.82359865e+02,  4.83095745e+00,  1.44238403e+02,  1.08024053e+01,  5.54624392e-01,  4.39915107e+00,  8.04497886e-03,  3.71095654e+01,  1.20620763e+02,  1.16936556e+00
  1.43867743e+02,  5.13401331e+00,  1.24800229e+02,  1.18624199e+01,  4.93130178e-01,  4.75307830e+00,  5.49077627e-03,  3.95105443e+01,  1.20534384e+02,  1.16956923e+00
  1.09319403e+02,  6.77669570e+00,  1.13699155e+02,  1.11738271e+01,  7.43782417e-01,  5.31092842e+00,  3.59905049e-03,  4.57843339e+01,  1.12916143e+02,  1.15542184e+00
  1.12277338e+02,  5.11086189e+00,  8.73204127e+01,  1.45309854e+01,  3.70492602e-01,  5.14360060e+00,  3.15648234e-03,  4.20899176e+01,  1.22627700e+02,  1.17368530e+00
  1.20220398e+02,  5.06731958e+00,  1.27859051e+02,  1.32750562e+01,  4.10525928e-01,  4.95956550e+00,  4.12842780e-03,  4.08916775e+01,  1.22141503e+02,  1.17150258e+00
  1.77683231e+02,  4.73356955e+00,  1.11955453e+02,  1.00908744e+01,  4.82595011e-01,  4.43957290e+00,  7.59048959e-03,  3.64957608e+01,  1.22649070e+02,  1.17433808e+00
  1.70300369e+02,  6.37982413e+00,  1.51635414e+02,  1.46219017e+01,  1.09695320e+00,  4.76176932e+00,  6.15285085e-03,  4.42409155e+01,  1.09551253e+02,  1.14720312e+00
  1.22215607e+02,  7.70754712e+00,  9.93204081e+01,  1.04382244e+01,  1.17641469e+00,  5.34347547e+00,  3.58722583e-03,  4.89502260e+01,  1.07640438e+02,  1.14475329e+00
  1.92091134e+02,  5.82273590e+00,  1.50870899e+02,  1.16004509e+01,  9.21356138e-01,  4.50712985e+00,  7.84596063e-03,  4.08498509e+01,  1.12545800e+02,  1.15347972e+00
  1.72415907e+02,  4.95314823e+00,  1.26076694e+02,  1.25831243e+01,  5.63758419e-01,  4.53992726e+00,  6.76534774e-03,  3.86012891e+01,  1.19604749e+02,  1.16752473e+00
  1.62727665e+02,  4.33509072e+00,  1.34376544e+02,  9.64369060e+00,  3.66707664e-01,  4.42181574e+00,  7.35886340e-03,  3.51506331e+01,  1.27436442e+02,  1.18259001e+00
  1.09682808e+02,  7.29455959e+00,  1.10936129e+02,  1.02849121e+01,  9.06019943e-01,  5.37893035e+00,  3.43267078e-03,  4.75362207e+01,  1.10461636e+02,  1.15043518e+00
  1.07254963e+02,  6.69617305e+00,  8.79684093e+01,  9.15940902e+00,  6.48491188e-01,  5.33859076e+00,  3.37604622e-03,  4.52435228e+01,  1.14485253e+02,  1.15906885e+00
  1.91764229e+02,  7.58571827e+00,  9.08422546e+01,  1.10253250e+01,  1.69778365e+00,  4.83494051e+00,  5.96452329e-03,  4.75029200e+01,  1.04244347e+02,  1.13723953e+00
  1.18336090e+02,  4.52476774e+00,  1.05032328e+02,  1.16829284e+01,  2.79396052e-01,  4.89388930e+00,  4.08949158e-03,  3.82759032e+01,  1.28456622e+02,  1.18452616e+00
  1.83022088e+02,  5.00653043e+00,  9.73417975e+01,  1.36930148e+01,  6.04880559e-01,  4.54532381e+00,  6.66574859e-03,  3.89729588e+01,  1.18502445e+02,  1.16623395e+00
  1.53778299e+02,  4.74441633e+00,  1.45553689e+02,  1.51368609e+01,  4.99953715e-01,  4.65475052e+00,  5.27071046e-03,  4.02838345e+01,  1.20835245e+02,  1.16711902e+00
  1.86489860e+02,  6.92857732e+00,  1.48267143e+02,  9.26087209e+00,  1.31591348e+00,  4.68090921e+00,  6.78253097e-03,  4.47679669e+01,  1.07455049e+02,  1.14291441e+00
  1.59234432e+02,  7.63142288e+00,  1.33530168e+02,  1.48204402e+01,  1.62614391e+00,  5.02894205e+00,  5.05777810e-03,  4.86727904e+01,  1.04526132e+02,  1.13755435e+00
  1.23145583e+02,  7.70129118e+00,  9.63935217e+01,  1.49079463e+01,  1.28231813e+00,  5.38781427e+00,  3.46514198e-03,  4.97746827e+01,  1.06648935e+02,  1.14297251e+00
  1.09000676e+02,  5.24311141e+00,  8.99200760e+01,  1.21831776e+01,  3.60376193e-01,  5.14007933e+00,  3.53313962e-03,  4.09738377e+01,  1.23045707e+02,  1.17564732e+00
  1.72176610e+02,  5.86074419e+00,  1.28553632e+02,  1.46964538e+01,  8.79424743e-01,  4.70975835e+00,  6.12474155e-03,  4.25430279e+01,  1.12548659e+02,  1.15361020e+00
  1.12495847e+02,  7.53263421e+00,  1.17511934e+02,  9.20263504e+00,  1.00832917e+00,  5.36566023e+00,  3.50031255e-03,  4.82011051e+01,  1.09291832e+02,  1.14775029e+00
  1.11241159e+02,  7.32883971e+00,  1.31524789e+02,  1.18081577e+01,  9.85885293e-01,  5.35086336e+00,  3.62053097e-03,  4.78217140e+01,  1.09569008e+02,  1.14818753e+00
  1.21661266e+02,  7.25988397e+00,  1.24144085e+02,  8.60830238e+00,  9.68279624e-01,  5.22292322e+00,  3.96753404e-03,  4.69239816e+01,  1.10044095e+02,  1.14899464e+00
  1.48821763e+02,  7.34289454e+00,  1.38709999e+02,  1.36149302e+01,  1.35435511e+00,  5.04605181e+00,  4.91101540e-03,  4.75783571e+01,  1.06531278e+02,  1.14164305e+00
  1.85019911e+02,  7.57660813e+00,  1.09862599e+02,  1.00024938e+01,  1.63936570e+00,  4.84028267e+00,  5.89883537e-03,  4.74425144e+01,  1.04634715e+02,  1.13769215e+00
